	_	_+=e_	_+=er_	_+e_	_+er_	_+n_	_+ns_	_+s_	_-e_
ngrams	0.6238532110091743	0.5714285714285714	0.25	0.2666666666666666	0.1818181818181818	0.6363636363636364	0.4444444444444444	0.816	0.0
ffn	0.0061162079510703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnn	0.073394495412844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gru	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cnn	0.0061162079510703	0.0	0.125	0.0	0.0	0.0	0.0	0.016	0.0
gbert	0.4892966360856269	0.0	0.0	0.0	0.0	0.6493506493506493	0.0	0.928	0.0
byt5	0.8929663608562691	0.0	0.0	0.5333333333333333	0.7272727272727273	0.6233766233766234	0.3333333333333333	0.48	0.5833333333333334
llama-instruct-base	0.9051987767584098	0.4285714285714285	1.0	0.4	0.3636363636363636	0.8441558441558441	0.2222222222222222	0.952	0.5
llama-instruct+cand	0.8348623853211009	0.2857142857142857	0.5	0.5333333333333333	0.4545454545454545	0.8701298701298701	0.8888888888888888	0.96	0.5833333333333334
llama-instruct+cand+par	0.8623853211009175	0.4285714285714285	1.0	0.5333333333333333	0.3636363636363636	0.8701298701298701	0.8888888888888888	0.92	0.5
